lottery_id,draw_date,draw_number,main_1,main_2,main_3,main_4,main_5,main_6,supp_1
de_lotto_6aus49,2026-07-04,,7,10,28,31,36,37,5
de_lotto_6aus49,2026-07-01,,2,4,5,13,41,48,4
de_lotto_6aus49,2026-06-27,,26,32,35,39,47,49,8
de_lotto_6aus49,2026-06-24,,25,36,40,43,44,49,3
de_lotto_6aus49,2026-06-20,,2,8,13,15,27,35,3
de_lotto_6aus49,2026-06-17,,3,4,20,26,27,39,9
de_lotto_6aus49,2026-06-13,,4,13,16,20,24,43,8
de_lotto_6aus49,2026-06-10,,11,15,16,28,39,42,7
de_lotto_6aus49,2026-06-06,,8,16,17,23,30,32,8
de_lotto_6aus49,2026-06-03,,4,6,24,26,41,44,9
de_lotto_6aus49,2026-05-30,,3,10,14,27,41,48,2
de_lotto_6aus49,2026-05-27,,16,26,30,41,44,47,1
de_lotto_6aus49,2026-05-23,,2,6,8,11,14,39,7
de_lotto_6aus49,2026-05-20,,3,14,34,39,46,48,5
de_lotto_6aus49,2026-05-16,,7,11,20,23,27,30,9
de_lotto_6aus49,2026-05-13,,13,15,20,26,31,43,7
de_lotto_6aus49,2026-05-09,,2,3,12,36,39,43,8
de_lotto_6aus49,2026-05-06,,10,13,19,38,40,48,2
de_lotto_6aus49,2026-05-02,,1,5,9,20,21,32,5
de_lotto_6aus49,2026-04-29,,1,15,25,37,43,47,4
de_lotto_6aus49,2026-04-25,,6,12,15,20,35,49,9
de_lotto_6aus49,2026-04-22,,15,26,27,35,42,47,5
de_lotto_6aus49,2026-04-18,,18,28,34,37,44,48,4
de_lotto_6aus49,2026-04-15,,3,17,25,28,40,42,0
de_lotto_6aus49,2026-04-11,,17,23,32,33,34,46,0
de_lotto_6aus49,2026-04-08,,2,5,14,16,23,36,8
de_lotto_6aus49,2026-04-04,,6,15,18,23,28,48,2
de_lotto_6aus49,2026-04-01,,8,10,11,14,22,48,1
de_lotto_6aus49,2026-03-28,,5,20,24,33,34,42,1
de_lotto_6aus49,2026-03-25,,7,12,29,30,46,49,5
de_lotto_6aus49,2026-03-21,,2,7,19,24,29,43,2
de_lotto_6aus49,2026-03-18,,10,13,20,35,43,49,0
