lottery_id,draw_date,draw_number,main_1,main_2,main_3,main_4,main_5,supp_1
fr_loto,2026-07-11,26082,3,16,34,35,38,2
fr_loto,2026-07-08,26081,7,16,18,28,35,8
fr_loto,2026-07-06,26080,16,29,31,36,46,7
fr_loto,2026-07-04,26079,15,31,41,48,49,3
fr_loto,2026-07-01,26078,8,9,10,25,31,5
fr_loto,2026-06-29,26077,1,13,27,32,41,2
fr_loto,2026-06-27,26076,18,21,24,35,36,3
fr_loto,2026-06-24,26075,8,26,29,32,38,7
fr_loto,2026-06-22,26074,7,13,30,31,47,7
fr_loto,2026-06-20,26073,5,16,31,37,41,5
fr_loto,2026-06-17,26072,1,15,32,37,39,1
fr_loto,2026-06-15,26071,23,25,29,46,49,1
fr_loto,2026-06-13,26070,11,27,28,39,41,3
fr_loto,2026-06-10,26069,2,12,14,38,47,5
fr_loto,2026-06-08,26068,24,39,41,43,48,3
fr_loto,2026-06-06,26067,13,19,24,32,43,2
fr_loto,2026-06-03,26066,4,16,17,18,30,1
fr_loto,2026-06-01,26065,5,19,26,30,33,2
fr_loto,2026-05-30,26064,3,10,31,34,47,5
fr_loto,2026-05-27,26063,3,4,15,17,41,4
fr_loto,2026-05-25,26062,19,22,27,31,49,3
fr_loto,2026-05-23,26061,20,21,23,36,38,2
fr_loto,2026-05-20,26060,8,15,28,30,48,7
fr_loto,2026-05-18,26059,14,32,33,36,49,3
fr_loto,2026-05-16,26058,1,12,30,32,34,4
fr_loto,2026-05-13,26057,17,35,38,41,46,2
fr_loto,2026-05-11,26056,17,18,30,34,39,9
fr_loto,2026-05-09,26055,16,21,25,26,31,1
fr_loto,2026-05-06,26054,7,18,27,35,48,5
fr_loto,2026-05-04,26053,4,8,15,18,46,2
fr_loto,2026-05-02,26052,10,17,19,29,41,7
fr_loto,2026-04-29,26051,2,3,30,31,37,8
fr_loto,2026-04-27,26050,6,15,23,27,43,4
fr_loto,2026-04-25,26049,9,17,22,25,49,3
fr_loto,2026-04-22,26048,30,37,38,40,43,1
fr_loto,2026-04-20,26047,2,12,21,29,33,6
fr_loto,2026-04-18,26046,5,22,23,24,25,10
fr_loto,2026-04-15,26045,2,21,44,47,48,10
fr_loto,2026-04-13,26044,4,10,16,18,22,4
fr_loto,2026-04-11,26043,7,39,41,45,48,9
fr_loto,2026-04-08,26042,13,16,23,26,46,1
fr_loto,2026-04-06,26041,3,19,23,29,33,3
fr_loto,2026-04-04,26040,5,6,7,21,36,6
fr_loto,2026-04-01,26039,3,23,34,43,47,5
fr_loto,2026-03-30,26038,8,10,28,29,47,5
fr_loto,2026-03-28,26037,17,28,30,38,45,6
fr_loto,2026-03-25,26036,19,28,30,35,48,5
fr_loto,2026-03-23,26035,3,9,30,38,42,4
fr_loto,2026-03-21,26034,3,19,24,33,45,10
fr_loto,2026-03-18,26033,8,13,18,45,48,7
fr_loto,2026-03-16,26032,5,14,25,31,42,4
fr_loto,2026-03-14,26031,10,22,23,25,46,3
fr_loto,2026-03-11,26030,10,12,14,16,18,3
fr_loto,2026-03-09,26029,5,12,16,24,35,4
fr_loto,2026-03-07,26028,9,10,11,21,22,9
fr_loto,2026-03-04,26027,14,16,40,46,47,4
fr_loto,2026-03-02,26026,19,20,34,37,40,6
fr_loto,2026-02-28,26025,18,24,31,40,49,2
fr_loto,2026-02-25,26024,8,9,22,26,30,8
fr_loto,2026-02-23,26023,15,20,29,41,47,4
fr_loto,2026-02-21,26022,4,14,17,32,44,9
fr_loto,2026-02-18,26021,4,16,22,25,36,7
fr_loto,2026-02-16,26020,8,17,21,29,35,3
fr_loto,2026-02-14,26019,9,14,17,27,33,6
fr_loto,2026-02-11,26018,3,32,36,44,47,8
fr_loto,2026-02-09,26017,22,23,25,38,42,3
fr_loto,2026-02-07,26016,2,9,20,41,49,9
fr_loto,2026-02-04,26015,1,11,12,24,37,9
fr_loto,2026-02-02,26014,7,11,12,29,41,5
fr_loto,2026-01-31,26013,1,4,14,21,24,4
fr_loto,2026-01-28,26012,7,10,11,30,42,4
fr_loto,2026-01-26,26011,9,25,28,32,36,4
fr_loto,2026-01-24,26010,10,18,30,33,39,8
fr_loto,2026-01-21,26009,25,27,29,40,45,10
fr_loto,2026-01-19,26008,12,13,16,24,34,4
fr_loto,2026-01-17,26007,12,26,34,42,49,6
fr_loto,2026-01-14,26006,4,5,23,28,31,5
fr_loto,2026-01-12,26005,2,13,24,32,39,6
fr_loto,2026-01-10,26004,1,7,16,35,36,3
fr_loto,2026-01-07,26003,5,17,30,35,36,3
fr_loto,2026-01-05,26002,5,13,23,30,31,6
fr_loto,2026-01-03,26001,9,29,30,31,40,2
fr_loto,2025-12-31,25157,6,15,19,39,43,1
fr_loto,2025-12-29,25156,10,21,33,43,47,3
fr_loto,2025-12-27,25155,16,17,41,42,49,10
fr_loto,2025-12-24,25154,5,9,33,42,45,1
fr_loto,2025-12-22,25153,16,20,40,41,49,9
fr_loto,2025-12-20,25152,16,28,37,42,47,2
fr_loto,2025-12-17,25151,2,14,20,30,49,2
fr_loto,2025-12-15,25150,26,32,38,42,43,6
fr_loto,2025-12-13,25149,7,10,15,22,25,7
fr_loto,2025-12-10,25148,33,34,35,39,44,10
fr_loto,2025-12-08,25147,8,9,11,17,41,1
fr_loto,2025-12-06,25146,2,14,24,33,34,1
fr_loto,2025-12-03,25145,10,13,18,28,36,8
fr_loto,2025-12-01,25144,11,13,14,38,46,1
fr_loto,2025-11-29,25143,8,13,20,23,27,3
fr_loto,2025-11-26,25142,9,14,16,26,33,5
fr_loto,2025-11-24,25141,22,28,29,36,47,1
fr_loto,2025-11-22,25140,7,10,34,40,45,6
fr_loto,2025-11-19,25139,24,26,33,45,46,2
fr_loto,2025-11-17,25138,7,17,26,28,45,6
fr_loto,2025-11-15,25137,5,11,22,23,24,3
fr_loto,2025-11-12,25136,3,8,29,33,37,2
fr_loto,2025-11-10,25135,8,9,16,37,45,2
fr_loto,2025-11-08,25134,16,27,32,36,48,8
fr_loto,2025-11-05,25133,19,23,29,31,45,4
fr_loto,2025-11-03,25132,2,3,29,32,49,2
fr_loto,2025-11-01,25131,3,17,24,26,33,6
fr_loto,2025-10-29,25130,6,7,34,35,45,8
fr_loto,2025-10-27,25129,10,23,45,47,48,8
fr_loto,2025-10-25,25128,4,5,6,16,35,1
fr_loto,2025-10-22,25127,4,29,31,39,49,1
fr_loto,2025-10-20,25126,12,24,34,38,43,1
fr_loto,2025-10-18,25125,11,17,19,47,49,1
fr_loto,2025-10-15,25124,1,9,17,22,48,5
fr_loto,2025-10-13,25123,2,11,36,45,49,7
fr_loto,2025-10-11,25122,3,5,12,32,40,4
fr_loto,2025-10-08,25121,5,10,25,39,47,7
fr_loto,2025-10-06,25120,1,10,22,26,30,9
fr_loto,2025-10-04,25119,4,6,29,31,45,8
fr_loto,2025-10-01,25118,5,10,35,41,44,7
fr_loto,2025-09-29,25117,5,17,27,32,44,4
fr_loto,2025-09-27,25116,3,11,19,45,46,4
fr_loto,2025-09-24,25115,3,21,23,31,32,4
fr_loto,2025-09-22,25114,5,10,29,41,47,4
fr_loto,2025-09-20,25113,10,18,36,39,47,7
fr_loto,2025-09-17,25112,2,25,32,37,47,3
fr_loto,2025-09-15,25111,2,10,17,30,32,5
fr_loto,2025-09-13,25110,6,28,29,31,41,10
fr_loto,2025-09-10,25109,14,17,18,24,49,7
fr_loto,2025-09-08,25108,10,21,22,30,42,8
fr_loto,2025-09-06,25107,4,17,18,21,26,1
fr_loto,2025-09-03,25106,2,24,30,31,36,5
fr_loto,2025-09-01,25105,4,25,33,38,44,4
fr_loto,2025-08-30,25104,4,15,23,34,39,10
fr_loto,2025-08-27,25103,7,12,20,31,40,6
fr_loto,2025-08-25,25102,14,21,22,32,42,2
fr_loto,2025-08-23,25101,15,20,23,30,49,9
fr_loto,2025-08-20,25100,1,2,27,36,40,7
fr_loto,2025-08-18,25099,2,8,21,26,27,6
fr_loto,2025-08-16,25098,4,5,18,31,45,7
fr_loto,2025-08-13,25097,9,31,36,42,47,1
fr_loto,2025-08-11,25096,1,10,30,40,44,2
fr_loto,2025-08-09,25095,6,15,19,21,38,8
fr_loto,2025-08-06,25094,5,18,19,23,49,8
fr_loto,2025-08-04,25093,6,10,31,34,43,5
fr_loto,2025-08-02,25092,14,15,22,31,48,2
fr_loto,2025-07-30,25091,3,13,20,37,41,3
fr_loto,2025-07-28,25090,6,22,25,27,30,5
fr_loto,2025-07-26,25089,1,9,19,32,44,3
fr_loto,2025-07-23,25088,5,18,29,30,43,2
fr_loto,2025-07-21,25087,5,9,16,26,33,8
fr_loto,2025-07-19,25086,18,19,24,25,45,1
fr_loto,2025-07-16,25085,3,34,36,41,45,4
fr_loto,2025-07-14,25084,6,20,27,28,37,3
fr_loto,2025-07-12,25083,13,36,39,48,49,7
fr_loto,2025-07-09,25082,1,22,25,36,45,4
fr_loto,2025-07-07,25081,3,18,26,27,41,6
fr_loto,2025-07-05,25080,25,32,37,42,46,10
fr_loto,2025-07-02,25079,19,25,29,30,38,10
fr_loto,2025-06-30,25078,8,10,12,17,18,4
fr_loto,2025-06-28,25077,2,3,4,20,28,6
fr_loto,2025-06-25,25076,2,5,26,32,44,10
fr_loto,2025-06-23,25075,20,25,38,42,44,10
fr_loto,2025-06-21,25074,18,20,25,34,49,2
fr_loto,2025-06-18,25073,9,13,19,24,36,3
fr_loto,2025-06-16,25072,1,2,4,13,39,1
fr_loto,2025-06-14,25071,16,21,25,31,44,8
fr_loto,2025-06-11,25070,7,9,15,18,19,6
fr_loto,2025-06-09,25069,5,12,25,34,38,10
fr_loto,2025-06-07,25068,7,30,37,40,45,1
fr_loto,2025-06-04,25067,2,18,38,41,45,8
fr_loto,2025-06-02,25066,8,13,25,29,36,2
fr_loto,2025-05-31,25065,4,11,27,37,39,3
fr_loto,2025-05-28,25064,4,25,26,32,38,4
fr_loto,2025-05-26,25063,24,33,36,41,45,7
fr_loto,2025-05-24,25062,14,32,39,45,49,9
fr_loto,2025-05-21,25061,7,10,11,18,49,3
fr_loto,2025-05-19,25060,8,30,33,42,43,4
fr_loto,2025-05-17,25059,9,12,13,14,18,3
fr_loto,2025-05-14,25058,12,31,34,42,43,10
fr_loto,2025-05-12,25057,2,6,12,16,24,4
fr_loto,2025-05-10,25056,12,13,29,42,49,9
fr_loto,2025-05-07,25055,1,32,36,41,46,9
fr_loto,2025-05-05,25054,8,9,34,38,47,3
fr_loto,2025-05-03,25053,19,37,38,39,42,5
fr_loto,2025-04-30,25052,3,5,8,31,42,8
fr_loto,2025-04-28,25051,3,6,14,35,36,2
fr_loto,2025-04-26,25050,3,15,23,39,45,9
fr_loto,2025-04-23,25049,3,5,15,20,35,8
fr_loto,2025-04-21,25048,5,8,13,30,48,5
fr_loto,2025-04-19,25047,11,16,19,20,32,6
fr_loto,2025-04-16,25046,13,27,38,39,40,10
fr_loto,2025-04-14,25045,25,31,33,37,40,9
fr_loto,2025-04-12,25044,3,10,13,18,47,1
fr_loto,2025-04-09,25043,12,16,36,46,47,9
fr_loto,2025-04-07,25042,2,13,21,34,38,1
fr_loto,2025-04-05,25041,8,14,22,27,30,7
fr_loto,2025-04-02,25040,4,5,15,34,45,9
fr_loto,2025-03-31,25039,3,4,16,28,38,4
fr_loto,2025-03-29,25038,7,12,14,31,41,5
fr_loto,2025-03-26,25037,4,11,19,21,41,7
fr_loto,2025-03-24,25036,21,29,35,46,47,1
fr_loto,2025-03-22,25035,3,20,23,36,49,6
fr_loto,2025-03-19,25034,3,12,14,15,45,3
fr_loto,2025-03-17,25033,9,16,20,26,32,7
fr_loto,2025-03-15,25032,6,21,27,31,40,7
fr_loto,2025-03-12,25031,10,16,21,24,32,7
fr_loto,2025-03-10,25030,13,15,23,24,39,1
fr_loto,2025-03-08,25029,2,3,10,11,18,2
fr_loto,2025-03-05,25028,7,26,28,30,47,4
fr_loto,2025-03-03,25027,4,6,13,28,41,1
fr_loto,2025-03-01,25026,8,9,14,28,33,4
fr_loto,2025-02-26,25025,3,11,15,17,44,9
fr_loto,2025-02-24,25024,5,13,32,38,46,5
fr_loto,2025-02-22,25023,23,25,28,30,39,7
fr_loto,2025-02-19,25022,16,23,28,32,42,5
fr_loto,2025-02-17,25021,3,14,20,34,40,6
fr_loto,2025-02-15,25020,6,13,42,48,49,3
fr_loto,2025-02-12,25019,1,23,30,37,41,5
fr_loto,2025-02-10,25018,2,12,29,39,44,6
fr_loto,2025-02-08,25017,11,26,42,43,49,8
fr_loto,2025-02-05,25016,5,8,14,24,28,9
fr_loto,2025-02-03,25015,27,29,32,44,48,8
fr_loto,2025-02-01,25014,11,30,34,36,46,5
fr_loto,2025-01-29,25013,17,19,27,29,41,2
fr_loto,2025-01-27,25012,3,10,24,39,48,3
fr_loto,2025-01-25,25011,5,19,35,44,45,8
fr_loto,2025-01-22,25010,23,29,36,38,44,9
fr_loto,2025-01-20,25009,6,19,28,36,40,2
fr_loto,2025-01-18,25008,1,4,11,33,44,7
fr_loto,2025-01-15,25007,1,22,27,28,40,2
fr_loto,2025-01-13,25006,3,7,24,31,41,2
fr_loto,2025-01-11,25005,6,20,29,41,42,9
fr_loto,2025-01-08,25004,14,24,26,34,38,8
fr_loto,2025-01-06,25003,3,8,16,31,42,7
fr_loto,2025-01-04,25002,9,17,19,20,29,2
fr_loto,2025-01-01,25001,2,8,11,21,25,4
fr_loto,2024-12-30,24157,1,13,21,29,31,10
fr_loto,2024-12-28,24156,7,13,31,37,39,6
fr_loto,2024-12-25,24155,6,13,22,44,46,8
fr_loto,2024-12-23,24154,2,13,17,22,38,7
fr_loto,2024-12-21,24153,6,16,28,36,41,8
fr_loto,2024-12-18,24152,8,14,26,27,46,2
fr_loto,2024-12-16,24151,5,6,26,36,43,3
fr_loto,2024-12-14,24150,22,24,30,40,44,7
fr_loto,2024-12-11,24149,8,19,24,28,43,6
fr_loto,2024-12-09,24148,5,6,9,25,38,6
fr_loto,2024-12-07,24147,9,21,24,28,30,9
fr_loto,2024-12-04,24146,3,7,21,34,40,1
fr_loto,2024-12-02,24145,4,16,22,41,48,10
fr_loto,2024-11-30,24144,4,10,19,21,38,1
fr_loto,2024-11-27,24143,7,15,20,31,35,6
fr_loto,2024-11-25,24142,3,7,13,37,49,5
fr_loto,2024-11-23,24141,20,33,34,36,37,2
fr_loto,2024-11-20,24140,27,35,37,45,48,5
fr_loto,2024-11-18,24139,3,6,8,12,17,9
fr_loto,2024-11-16,24138,5,7,19,29,46,4
fr_loto,2024-11-13,24137,9,12,13,32,39,10
fr_loto,2024-11-11,24136,6,8,11,35,46,6
fr_loto,2024-11-09,24135,12,23,26,35,36,8
fr_loto,2024-11-06,24134,6,8,15,23,26,5
fr_loto,2024-11-04,24133,15,16,17,35,39,2
fr_loto,2024-11-02,24132,1,21,31,43,49,6
fr_loto,2024-10-30,24131,4,8,10,29,44,1
fr_loto,2024-10-28,24130,9,21,39,41,43,3
fr_loto,2024-10-26,24129,9,11,17,20,30,8
fr_loto,2024-10-23,24128,1,27,34,40,44,2
fr_loto,2024-10-21,24127,7,11,15,19,34,7
fr_loto,2024-10-19,24126,2,10,44,45,46,5
fr_loto,2024-10-16,24125,1,21,25,35,48,3
fr_loto,2024-10-14,24124,18,20,41,42,47,2
fr_loto,2024-10-12,24123,6,33,35,37,43,6
fr_loto,2024-10-09,24122,5,22,26,31,33,7
fr_loto,2024-10-07,24121,1,5,7,26,49,8
fr_loto,2024-10-05,24120,7,13,16,30,43,6
fr_loto,2024-10-02,24119,2,4,10,12,49,9
fr_loto,2024-09-30,24118,1,17,24,33,49,9
fr_loto,2024-09-28,24117,4,39,42,45,47,1
fr_loto,2024-09-25,24116,1,5,6,10,25,9
fr_loto,2024-09-23,24115,7,9,27,28,40,6
fr_loto,2024-09-21,24114,2,4,19,30,32,9
fr_loto,2024-09-18,24113,2,23,42,44,47,5
fr_loto,2024-09-16,24112,17,27,30,31,48,8
fr_loto,2024-09-14,24111,6,11,15,32,49,4
fr_loto,2024-09-11,24110,10,24,28,30,39,5
fr_loto,2024-09-09,24109,3,8,17,18,41,3
fr_loto,2024-09-07,24108,9,15,31,43,48,9
fr_loto,2024-09-04,24107,2,4,22,26,40,8
fr_loto,2024-09-02,24106,5,6,12,26,27,6
fr_loto,2024-08-31,24105,14,18,28,40,43,1
fr_loto,2024-08-28,24104,11,30,33,37,42,3
fr_loto,2024-08-26,24103,3,6,12,24,28,2
fr_loto,2024-08-24,24102,13,20,29,30,36,5
fr_loto,2024-08-21,24101,3,15,19,20,31,7
fr_loto,2024-08-19,24100,10,18,19,20,28,5
