game_id,country_code,draw_date,draw_number,main_1,main_2,main_3,main_4,main_5,main_6,main_7,bonus_1,bonus_2
jp_loto6,JP,2026-06-22,500,2,5,32,36,38,42,,14,
jp_loto6,JP,2026-06-18,499,3,7,8,27,31,40,,18,
jp_loto6,JP,2026-06-15,498,1,5,8,12,37,43,,36,
jp_loto6,JP,2026-06-11,497,3,9,18,35,36,40,,29,
jp_loto6,JP,2026-06-08,496,6,11,19,31,38,41,,3,
jp_loto6,JP,2026-06-04,495,2,5,10,15,28,43,,27,
jp_loto6,JP,2026-06-01,494,5,8,27,32,36,39,,38,
jp_loto6,JP,2026-05-28,493,1,6,17,27,34,43,,24,
jp_loto6,JP,2026-05-25,492,5,26,28,30,36,40,,32,
jp_loto6,JP,2026-05-21,491,18,19,21,25,28,34,,4,
jp_loto6,JP,2026-05-18,490,1,2,4,5,8,38,,39,
jp_loto6,JP,2026-05-14,489,18,21,25,28,30,43,,8,
jp_loto6,JP,2026-05-11,488,1,17,29,33,40,42,,21,
jp_loto6,JP,2026-05-07,487,8,17,24,32,35,41,,28,
jp_loto6,JP,2026-05-04,486,19,21,34,36,39,42,,43,
jp_loto6,JP,2026-04-30,485,1,6,15,18,19,42,,24,
jp_loto6,JP,2026-04-27,484,3,20,24,27,34,42,,37,
jp_loto6,JP,2026-04-23,483,8,15,18,21,33,43,,38,
jp_loto6,JP,2026-04-20,482,13,20,22,23,28,30,,29,
jp_loto6,JP,2026-04-16,481,3,4,7,11,24,30,,16,
jp_loto6,JP,2026-04-13,480,2,10,21,26,29,38,,12,
jp_loto6,JP,2026-04-09,479,8,13,27,36,37,43,,3,
jp_loto6,JP,2026-04-06,478,6,16,21,25,28,43,,9,
jp_loto6,JP,2026-04-02,477,2,3,6,9,24,36,,5,
jp_loto6,JP,2026-03-30,476,9,16,18,32,37,43,,13,
jp_loto6,JP,2026-03-26,475,8,16,18,27,37,39,,29,
jp_loto6,JP,2026-03-23,474,7,10,15,18,26,39,,13,
jp_loto6,JP,2026-03-19,473,4,11,19,28,39,40,,6,
jp_loto6,JP,2026-03-16,472,6,8,13,26,35,43,,14,
jp_loto6,JP,2026-03-12,471,8,17,18,19,30,39,,9,
jp_loto6,JP,2026-03-09,470,8,10,13,17,26,29,,43,
jp_loto6,JP,2026-03-05,469,5,11,14,19,25,40,,17,
jp_loto6,JP,2026-03-02,468,14,31,32,37,41,42,,22,
jp_loto6,JP,2026-02-26,467,6,12,30,36,37,38,,8,
jp_loto6,JP,2026-02-23,466,5,11,15,17,24,39,,31,
jp_loto6,JP,2026-02-19,465,1,10,20,24,30,35,,41,
jp_loto6,JP,2026-02-16,464,17,18,23,24,26,43,,10,
jp_loto6,JP,2026-02-12,463,1,9,20,22,28,41,,30,
jp_loto6,JP,2026-02-09,462,7,10,14,16,35,37,,11,
jp_loto6,JP,2026-02-05,461,5,6,16,26,27,36,,11,
jp_loto6,JP,2026-02-02,460,2,12,14,24,26,29,,8,
jp_loto6,JP,2026-01-29,459,8,18,24,36,40,42,,43,
jp_loto6,JP,2026-01-26,458,15,24,29,32,33,35,,14,
jp_loto6,JP,2026-01-22,457,6,10,25,30,34,36,,12,
jp_loto6,JP,2026-01-19,456,6,17,23,27,33,35,,4,
jp_loto6,JP,2026-01-15,455,2,10,13,14,29,33,,32,
jp_loto6,JP,2026-01-12,454,3,4,12,15,32,42,,31,
jp_loto6,JP,2026-01-08,453,8,28,30,32,37,38,,5,
jp_loto6,JP,2026-01-05,452,6,18,21,31,37,40,,3,
jp_loto6,JP,2025-12-29,451,2,7,24,37,39,41,,3,
jp_loto6,JP,2025-12-25,450,4,28,29,30,38,42,,15,
jp_loto6,JP,2025-12-22,449,1,9,18,24,35,42,,8,
jp_loto6,JP,2025-12-18,448,5,6,13,21,33,34,,40,
jp_loto6,JP,2025-12-15,447,8,16,22,40,41,42,,10,
jp_loto6,JP,2025-12-11,446,2,13,26,28,38,43,,3,
jp_loto6,JP,2025-12-08,445,9,12,14,16,19,42,,18,
jp_loto6,JP,2025-12-04,444,5,7,21,22,38,41,,24,
jp_loto6,JP,2025-12-01,443,3,7,15,17,19,30,,38,
jp_loto6,JP,2025-11-27,442,11,12,14,17,21,26,,2,
jp_loto6,JP,2025-11-24,441,1,14,27,30,33,37,,23,
jp_loto6,JP,2025-11-20,440,20,28,31,35,37,41,,13,
jp_loto6,JP,2025-11-17,439,1,3,18,25,30,34,,10,
jp_loto6,JP,2025-11-13,438,3,15,27,28,31,39,,20,
jp_loto6,JP,2025-11-10,437,6,11,15,21,25,32,,5,
jp_loto6,JP,2025-11-06,436,10,24,25,39,40,42,,19,
jp_loto6,JP,2025-11-03,435,8,13,18,32,37,43,,27,
jp_loto6,JP,2025-10-30,434,10,11,16,19,37,39,,27,
jp_loto6,JP,2025-10-27,433,2,5,10,22,25,38,,14,
jp_loto6,JP,2025-10-23,432,1,4,7,12,16,28,,19,
jp_loto6,JP,2025-10-20,431,1,6,11,26,33,40,,14,
jp_loto6,JP,2025-10-16,430,11,19,22,34,40,42,,31,
jp_loto6,JP,2025-10-13,429,9,14,29,38,41,43,,12,
jp_loto6,JP,2025-10-09,428,4,19,22,24,32,38,,11,
jp_loto6,JP,2025-10-06,427,7,12,14,15,24,30,,32,
jp_loto6,JP,2025-10-02,426,2,15,25,27,38,42,,22,
jp_loto6,JP,2025-09-29,425,5,31,37,39,41,42,,33,
jp_loto6,JP,2025-09-25,424,7,12,20,23,27,29,,10,
jp_loto6,JP,2025-09-22,423,7,10,17,26,35,42,,33,
jp_loto6,JP,2025-09-18,422,5,10,12,17,21,35,,9,
jp_loto6,JP,2025-09-15,421,2,13,22,25,35,37,,17,
jp_loto6,JP,2025-09-11,420,5,16,21,22,33,35,,26,
jp_loto6,JP,2025-09-08,419,8,15,27,33,37,39,,31,
jp_loto6,JP,2025-09-04,418,2,3,16,20,23,29,,27,
jp_loto6,JP,2025-09-01,417,3,7,28,29,32,36,,13,
jp_loto6,JP,2025-08-28,416,7,21,31,36,40,43,,41,
jp_loto6,JP,2025-08-25,415,6,10,12,19,21,42,,16,
jp_loto6,JP,2025-08-21,414,5,12,18,23,34,39,,13,
jp_loto6,JP,2025-08-18,413,2,5,8,11,20,26,,28,
jp_loto6,JP,2025-08-14,412,12,18,26,28,41,43,,35,
jp_loto6,JP,2025-08-11,411,10,13,16,29,34,42,,21,
jp_loto6,JP,2025-08-07,410,1,20,28,29,31,43,,5,
jp_loto6,JP,2025-08-04,409,2,3,18,26,31,33,,30,
jp_loto6,JP,2025-07-31,408,2,17,22,29,30,43,,31,
jp_loto6,JP,2025-07-28,407,5,21,23,28,38,39,,32,
jp_loto6,JP,2025-07-24,406,7,13,14,21,39,42,,9,
jp_loto6,JP,2025-07-21,405,1,2,14,21,22,33,,37,
jp_loto6,JP,2025-07-17,404,2,4,11,22,24,35,,8,
jp_loto6,JP,2025-07-14,403,10,13,27,31,40,42,,1,
jp_loto6,JP,2025-07-10,402,6,8,13,16,20,23,,26,
jp_loto6,JP,2025-07-07,401,7,11,21,24,29,34,,40,
jp_loto6,JP,2025-07-03,400,7,12,30,31,39,43,,42,
jp_loto6,JP,2025-06-30,399,1,14,20,36,38,41,,30,
jp_loto6,JP,2025-06-26,398,12,14,18,24,30,42,,4,
jp_loto6,JP,2025-06-23,397,9,15,24,29,31,40,,13,
jp_loto6,JP,2025-06-19,396,8,17,20,35,36,40,,12,
