game,draw_date,draw_number,main_1,main_2,main_3,main_4,main_5,main_6,supp_1,supp_2
Saturday Lotto,2021-01-02,4117,5,7,14,16,17,44,26,31
Saturday Lotto,2021-01-09,4119,7,9,20,22,34,45,10,12
Saturday Lotto,2021-01-16,4121,4,12,14,17,22,33,25,28
Saturday Lotto,2021-01-23,4123,1,6,8,10,29,40,31,42
Saturday Lotto,2021-01-30,4125,3,6,15,20,30,31,2,26
Saturday Lotto,2021-02-06,4127,3,6,8,10,12,24,36,45
Saturday Lotto,2021-02-13,4129,1,3,4,22,42,43,24,25
Saturday Lotto,2021-02-20,4131,3,5,9,26,35,41,28,45
Saturday Lotto,2021-02-27,4133,4,6,24,35,42,45,36,38
Saturday Lotto,2021-03-06,4135,11,16,26,32,39,42,6,30
Saturday Lotto,2021-03-13,4137,15,17,22,27,37,40,2,4
Saturday Lotto,2021-03-20,4139,8,9,13,19,22,32,15,25
Saturday Lotto,2021-03-27,4141,2,4,12,23,24,35,15,37
Saturday Lotto,2021-04-03,4143,1,21,31,38,39,41,6,43
Saturday Lotto,2021-04-10,4145,7,8,20,22,26,42,14,16
Saturday Lotto,2021-04-17,4147,5,13,17,33,38,44,22,35
Saturday Lotto,2021-04-24,4149,2,4,8,31,32,44,35,36
Saturday Lotto,2021-05-01,4151,5,14,18,22,31,42,1,8
Saturday Lotto,2021-05-08,4153,2,4,9,26,31,41,18,25
Saturday Lotto,2021-05-15,4155,5,15,16,19,20,41,4,21
Saturday Lotto,2021-05-22,4157,6,7,9,13,23,27,1,33
Saturday Lotto,2021-05-29,4159,2,7,16,28,30,42,22,35
Saturday Lotto,2021-06-05,4161,1,11,24,32,33,44,20,35
Saturday Lotto,2021-06-12,4163,5,13,15,28,37,45,1,43
Saturday Lotto,2021-06-19,4165,12,14,30,34,40,41,15,27
Saturday Lotto,2021-06-26,4167,1,24,26,32,34,36,7,27
Saturday Lotto,2021-07-03,4169,2,7,27,33,37,42,10,20
Saturday Lotto,2021-07-10,4171,22,23,28,30,34,38,16,20
Saturday Lotto,2021-07-17,4173,2,14,30,32,35,38,10,45
Saturday Lotto,2021-07-24,4175,12,16,26,27,30,40,13,15
Saturday Lotto,2021-07-31,4177,13,16,18,32,33,41,9,19
Saturday Lotto,2021-08-07,4179,5,11,12,22,28,36,1,9
Saturday Lotto,2021-08-14,4181,3,9,13,19,24,28,29,35
Saturday Lotto,2021-08-21,4183,6,19,34,35,40,43,22,45
Saturday Lotto,2021-08-28,4185,17,19,21,22,23,30,32,43
Saturday Lotto,2021-09-04,4187,14,29,31,33,44,45,19,26
Saturday Lotto,2021-09-11,4189,8,10,17,23,26,34,36,41
Saturday Lotto,2021-09-18,4191,5,6,15,18,36,43,24,29
Saturday Lotto,2021-09-25,4193,6,28,29,33,36,40,26,43
Saturday Lotto,2021-10-02,4195,13,17,26,28,33,44,18,38
Saturday Lotto,2021-10-09,4197,18,22,24,34,40,42,19,37
Saturday Lotto,2021-10-16,4199,2,7,17,26,27,38,1,19
Saturday Lotto,2021-10-23,4201,9,10,16,22,26,32,17,38
Saturday Lotto,2021-10-30,4203,4,16,26,29,30,32,37,43
Saturday Lotto,2021-11-06,4205,11,15,28,30,33,39,19,35
Saturday Lotto,2021-11-13,4207,17,22,26,29,32,40,12,21
Saturday Lotto,2021-11-20,4209,9,17,20,21,25,33,4,19
Saturday Lotto,2021-11-27,4211,3,5,27,34,41,45,10,24
Saturday Lotto,2021-12-04,4213,8,24,31,39,44,45,21,41
Saturday Lotto,2021-12-11,4215,6,12,27,35,37,39,2,19
Saturday Lotto,2021-12-18,4217,1,19,25,29,36,44,21,35
Saturday Lotto,2021-12-25,4219,6,19,21,30,31,42,15,38
Saturday Lotto,2021-12-31,4221,8,14,15,20,32,43,31,35
Saturday Lotto,2022-01-08,4223,3,17,20,24,27,29,9,18
Saturday Lotto,2022-01-15,4225,3,11,19,33,38,42,13,39
Saturday Lotto,2022-01-22,4227,1,12,14,21,39,43,19,32
Saturday Lotto,2022-01-29,4229,8,9,22,23,34,40,13,17
Saturday Lotto,2022-02-05,4231,2,9,10,11,22,37,6,40
Saturday Lotto,2022-02-12,4233,13,35,36,37,42,43,5,15
Saturday Lotto,2022-02-19,4235,1,5,18,20,23,34,9,35
Saturday Lotto,2022-02-26,4237,3,7,16,23,26,34,17,35
Saturday Lotto,2022-03-05,4239,2,16,18,19,30,40,9,28
Saturday Lotto,2022-03-12,4241,4,29,35,37,40,41,21,27
Saturday Lotto,2022-03-19,4243,10,24,32,34,38,43,6,25
Saturday Lotto,2022-03-26,4245,2,8,13,21,22,33,10,27
Saturday Lotto,2022-04-02,4247,1,4,6,15,21,27,19,41
Saturday Lotto,2022-04-09,4249,1,8,19,31,35,40,15,38
Saturday Lotto,2022-04-16,4251,11,12,14,15,23,37,20,42
Saturday Lotto,2022-04-23,4253,3,23,31,33,39,45,17,20
Saturday Lotto,2022-04-30,4255,3,8,10,20,36,42,9,45
Saturday Lotto,2022-05-07,4257,6,7,11,13,17,45,23,43
Saturday Lotto,2022-05-14,4259,15,20,25,27,35,39,9,21
Saturday Lotto,2022-05-21,4261,5,9,13,23,38,41,4,43
Saturday Lotto,2022-05-28,4263,15,17,19,28,32,33,2,24
Saturday Lotto,2022-06-04,4265,7,8,13,17,23,25,31,42
Saturday Lotto,2022-06-11,4267,10,11,19,21,39,45,25,35
