lottery_id,draw_date,draw_number,round,main_1,main_2,main_3,main_4,main_5,main_6,bonus_1
uk_lotto,2026-06-17,,1,26,31,36,41,45,51,16
uk_lotto,2026-06-13,,1,12,15,31,32,48,58,44
uk_lotto,2026-06-10,,1,1,12,25,29,40,41,16
uk_lotto,2026-06-06,,1,8,10,26,30,35,42,50
uk_lotto,2026-06-03,,1,7,10,20,55,57,59,44
uk_lotto,2026-05-30,,1,4,17,18,20,23,56,33
uk_lotto,2026-05-27,,1,33,36,38,46,47,50,35
uk_lotto,2026-05-23,,1,4,5,6,7,11,33,35
uk_lotto,2026-05-20,,1,9,20,24,51,52,59,31
uk_lotto,2026-05-16,,1,4,21,23,27,36,57,20
uk_lotto,2026-05-13,,1,9,12,15,16,37,39,14
uk_lotto,2026-05-09,,1,3,11,13,14,43,49,5
uk_lotto,2026-05-06,,1,7,31,33,37,39,56,20
uk_lotto,2026-05-02,,1,3,4,6,12,29,40,19
uk_lotto,2026-04-29,,1,4,14,22,32,38,52,27
uk_lotto,2026-04-25,,1,3,10,14,19,32,53,23
uk_lotto,2026-04-22,,1,6,12,18,29,49,56,7
uk_lotto,2026-04-18,,1,1,4,12,15,39,47,48
uk_lotto,2026-04-15,,1,22,45,49,53,54,56,25
uk_lotto,2026-04-11,,1,7,10,14,15,17,35,31
uk_lotto,2026-04-08,,1,27,29,34,36,43,59,37
uk_lotto,2026-04-04,,1,15,16,23,32,42,46,52
uk_lotto,2026-04-01,,1,7,16,23,27,35,40,48
uk_lotto,2026-03-28,,1,9,24,35,40,47,52,18
uk_lotto,2026-03-25,,1,19,22,31,32,34,40,43
uk_lotto,2026-03-21,,1,5,10,18,28,34,53,46
uk_lotto,2026-03-18,,1,14,16,18,22,47,56,54
uk_lotto,2026-03-14,,1,10,30,36,44,45,58,59
uk_lotto,2026-03-11,,1,2,3,18,25,40,54,14
uk_lotto,2026-03-07,,1,9,37,39,40,47,51,19
uk_lotto,2026-03-04,,1,20,33,43,46,50,56,45
uk_lotto,2026-02-28,,1,12,15,22,28,31,32,23
uk_lotto,2026-02-25,,1,31,34,36,41,54,57,27
uk_lotto,2026-02-21,,1,2,14,24,33,37,40,19
uk_lotto,2026-02-18,,1,1,11,12,13,18,49,33
uk_lotto,2026-02-14,,1,10,13,27,50,54,56,14
uk_lotto,2026-02-11,,1,5,11,28,30,47,53,52
uk_lotto,2026-02-07,,1,7,25,27,46,52,59,40
uk_lotto,2026-02-04,,1,1,2,19,29,51,57,5
uk_lotto,2026-01-31,,1,7,8,17,25,37,40,11
uk_lotto,2026-01-28,,1,33,45,50,52,58,59,15
uk_lotto,2026-01-24,,1,1,4,8,23,34,57,29
uk_lotto,2026-01-21,,1,5,24,28,46,49,56,19
uk_lotto,2026-01-17,,1,12,26,30,32,39,58,4
uk_lotto,2026-01-14,,1,2,5,22,35,44,54,23
uk_lotto,2026-01-10,,1,5,6,13,18,22,53,9
uk_lotto,2026-01-07,,1,3,9,20,33,45,50,12
uk_lotto,2026-01-03,,1,6,20,34,38,47,48,4
uk_lotto,2025-12-31,,1,3,20,27,29,38,46,14
uk_lotto,2025-12-27,,1,20,36,40,43,51,55,21
uk_lotto,2025-12-24,,1,12,15,16,35,38,48,49
uk_lotto,2025-12-20,,1,2,25,27,34,45,52,47
uk_lotto,2025-12-17,,1,15,20,43,50,51,58,36
uk_lotto,2025-12-13,,1,18,22,24,41,53,56,59
uk_lotto,2025-12-10,,1,4,9,26,35,42,46,38
uk_lotto,2025-12-06,,1,5,7,10,17,32,42,40
uk_lotto,2025-12-03,,1,6,13,19,48,57,58,1
uk_lotto,2025-11-29,,1,2,6,9,16,38,48,46
uk_lotto,2025-11-26,,1,10,21,49,54,55,56,40
uk_lotto,2025-11-22,,1,9,11,14,43,49,59,35
uk_lotto,2025-11-19,,1,15,18,36,50,51,57,10
uk_lotto,2025-11-15,,1,9,11,27,44,48,52,25
uk_lotto,2025-11-12,,1,9,17,31,34,54,57,7
uk_lotto,2025-11-08,,1,2,3,42,45,46,47,44
uk_lotto,2025-11-05,,1,2,15,20,42,43,59,16
uk_lotto,2025-11-01,,1,17,18,31,36,39,51,29
uk_lotto,2025-10-29,,1,9,24,30,33,35,54,32
uk_lotto,2025-10-25,,1,4,9,28,40,42,59,55
uk_lotto,2025-10-22,,1,3,24,26,34,35,36,9
uk_lotto,2025-10-18,,1,6,39,43,52,58,59,19
uk_lotto,2025-10-15,,1,29,33,36,38,48,58,52
uk_lotto,2025-10-11,,1,11,17,25,31,51,54,53
uk_lotto,2025-10-08,,1,2,21,42,48,56,57,51
uk_lotto,2025-10-04,,1,6,8,12,33,49,59,42
uk_lotto,2025-10-01,,1,13,28,31,39,51,59,27
uk_lotto,2025-09-27,,1,15,23,24,28,37,41,59
uk_lotto,2025-09-24,,1,3,16,23,30,38,47,25
uk_lotto,2025-09-20,,1,13,16,30,36,53,59,22
uk_lotto,2025-09-17,,1,7,9,18,24,30,36,42
uk_lotto,2025-09-13,,1,1,26,36,49,53,54,10
uk_lotto,2025-09-10,,1,1,9,18,27,38,42,13
uk_lotto,2025-09-06,,1,10,22,37,40,45,57,24
uk_lotto,2025-09-03,,1,7,15,18,22,31,54,28
uk_lotto,2025-08-30,,1,6,10,19,20,43,59,16
uk_lotto,2025-08-27,,1,5,25,43,45,47,55,58
uk_lotto,2025-08-23,,1,7,30,38,42,54,59,5
uk_lotto,2025-08-20,,1,1,9,10,32,44,55,49
uk_lotto,2025-08-16,,1,1,11,15,19,45,48,37
uk_lotto,2025-08-13,,1,1,16,27,41,50,55,54
uk_lotto,2025-08-09,,1,2,27,29,38,44,51,23
uk_lotto,2025-08-06,,1,5,9,17,31,47,58,35
uk_lotto,2025-08-02,,1,1,5,10,30,33,50,56
uk_lotto,2025-07-30,,1,3,5,7,18,21,37,38
uk_lotto,2025-07-26,,1,9,23,24,28,42,57,18
uk_lotto,2025-07-23,,1,3,9,11,16,21,48,22
uk_lotto,2025-07-19,,1,5,7,25,29,40,46,15
uk_lotto,2025-07-16,,1,6,9,12,15,47,55,56
uk_lotto,2025-07-12,,1,4,11,17,25,41,51,14
uk_lotto,2025-07-09,,1,6,12,15,25,51,58,57
uk_lotto,2025-07-05,,1,9,12,18,37,43,45,15
uk_lotto,2025-07-02,,1,4,11,34,51,54,55,57
uk_lotto,2025-06-28,,1,16,17,22,38,40,47,4
uk_lotto,2025-06-25,,1,14,16,21,42,49,54,41
uk_lotto,2025-06-21,,1,6,10,12,13,31,58,15
uk_lotto,2025-06-18,,1,8,15,31,38,44,49,59
uk_lotto,2025-06-14,,1,8,20,36,42,48,59,46
uk_lotto,2025-06-11,,1,8,13,35,42,47,53,39
uk_lotto,2025-06-07,,1,11,17,27,30,39,46,56
uk_lotto,2025-06-04,,1,2,9,19,32,45,57,31
uk_lotto,2025-05-31,,1,8,11,12,16,20,33,52
uk_lotto,2025-05-28,,1,8,28,31,33,49,55,13
uk_lotto,2025-05-24,,1,9,12,13,26,38,40,4
uk_lotto,2025-05-21,,1,5,6,16,20,30,36,2
uk_lotto,2025-05-17,,1,18,24,34,35,47,51,26
uk_lotto,2025-05-14,,1,2,14,34,37,48,52,29
uk_lotto,2025-05-10,,1,13,14,15,27,33,36,18
uk_lotto,2025-05-07,,1,3,12,21,24,41,45,20
uk_lotto,2025-05-03,,1,17,18,23,38,41,47,9
uk_lotto,2025-04-30,,1,16,23,28,40,42,55,44
uk_lotto,2025-04-26,,1,7,8,11,32,36,59,21
