lottery_id,draw_date,draw_number,main_1,main_2,main_3,main_4,main_5,supp_1
us_megamillions,2026-04-21,,1,36,43,56,58,7
us_megamillions,2026-04-17,,38,43,44,49,62,8
us_megamillions,2026-04-14,,17,21,24,57,69,12
us_megamillions,2026-04-10,,3,18,36,42,49,6
us_megamillions,2026-04-07,,5,15,22,33,37,2
us_megamillions,2026-04-03,4,31,45,62,63,68,15
us_megamillions,2026-03-31,5,18,35,45,60,65,17
us_megamillions,2026-03-27,6,13,27,28,41,62,16
us_megamillions,2026-03-24,7,4,13,52,53,69,10
us_megamillions,2026-03-20,8,11,20,51,55,63,4
us_megamillions,2026-03-17,9,4,11,18,38,50,24
us_megamillions,2026-03-13,10,6,19,36,40,55,9
us_megamillions,2026-03-10,11,16,21,30,35,65,7
us_megamillions,2026-03-06,12,8,19,26,38,42,24
us_megamillions,2026-03-03,13,7,21,53,54,62,16
us_megamillions,2026-02-27,14,11,18,39,43,67,23
us_megamillions,2026-02-24,15,12,39,43,49,55,23
us_megamillions,2026-02-20,16,15,40,48,58,63,2
us_megamillions,2026-02-17,17,3,37,44,52,63,14
us_megamillions,2026-02-13,18,34,40,49,59,68,1
us_megamillions,2026-02-10,19,5,25,30,36,68,6
us_megamillions,2026-02-06,20,13,21,25,52,62,19
us_megamillions,2026-02-03,21,5,11,22,25,69,21
us_megamillions,2026-01-30,22,11,34,36,43,63,13
us_megamillions,2026-01-27,23,4,20,38,56,66,5
us_megamillions,2026-01-23,24,30,42,49,53,66,4
us_megamillions,2026-01-20,25,8,47,50,56,70,12
us_megamillions,2026-01-16,26,2,22,33,42,67,1
us_megamillions,2026-01-13,27,16,40,56,64,66,4
us_megamillions,2026-01-09,28,12,30,36,42,47,16
us_megamillions,2026-01-06,29,9,39,47,58,68,24
us_megamillions,2026-01-02,30,6,13,34,43,52,4
us_megamillions,2025-12-30,31,18,43,49,63,69,6
us_megamillions,2025-12-26,32,9,19,31,63,64,7
us_megamillions,2025-12-23,33,15,37,38,41,64,21
us_megamillions,2025-12-19,34,1,11,27,39,59,18
us_megamillions,2025-12-16,35,20,24,46,59,65,7
us_megamillions,2025-12-12,36,10,50,55,58,59,5
us_megamillions,2025-12-09,37,19,32,41,49,66,6
us_megamillions,2025-12-05,38,34,38,42,44,69,8
