lottery_id,draw_date,draw_number,main_1,main_2,main_3,main_4,main_5,supp_1
us_powerball,2026-04-27,,18,31,33,36,62,3
us_powerball,2026-04-25,,4,30,36,52,57,2
us_powerball,2026-04-22,,24,29,32,49,63,11
us_powerball,2026-04-20,,9,17,36,47,64,26
us_powerball,2026-04-18,,24,25,39,46,61,1
us_powerball,2026-04-15,,13,21,27,43,45,26
us_powerball,2026-04-13,,38,43,59,63,64,15
us_powerball,2026-04-11,,6,47,49,53,60,6
us_powerball,2026-04-08,4,3,16,17,42,52,3
us_powerball,2026-04-06,5,7,24,37,42,57,5
us_powerball,2026-04-04,6,3,6,13,41,65,1
us_powerball,2026-04-01,7,4,10,11,52,64,24
us_powerball,2026-03-30,8,7,11,31,41,57,20
us_powerball,2026-03-28,9,11,42,43,59,61,25
us_powerball,2026-03-25,10,7,21,55,56,64,26
us_powerball,2026-03-23,11,12,18,47,56,63,1
us_powerball,2026-03-21,12,12,28,36,41,59,2
us_powerball,2026-03-18,13,14,18,19,21,69,1
us_powerball,2026-03-16,14,7,10,20,47,52,20
us_powerball,2026-03-14,15,9,30,42,50,52,21
us_powerball,2026-03-11,16,3,6,55,58,63,12
us_powerball,2026-03-09,17,22,23,28,36,54,13
us_powerball,2026-03-07,18,17,18,30,50,68,24
us_powerball,2026-03-04,19,7,14,42,47,56,6
us_powerball,2026-03-02,20,2,17,18,38,62,20
us_powerball,2026-02-28,21,6,20,35,54,65,10
us_powerball,2026-02-25,22,50,52,54,56,64,23
us_powerball,2026-02-23,23,5,11,23,29,47,6
us_powerball,2026-02-21,24,27,28,36,48,49,21
us_powerball,2026-02-18,25,9,33,52,64,66,1
us_powerball,2026-02-16,26,16,18,19,56,58,6
us_powerball,2026-02-14,27,23,43,58,60,64,24
us_powerball,2026-02-11,28,6,20,33,40,48,5
us_powerball,2026-02-09,29,6,19,22,28,48,24
us_powerball,2026-02-07,30,25,36,42,51,58,6
us_powerball,2026-02-04,31,27,29,30,37,58,15
us_powerball,2026-02-02,32,3,8,31,60,65,4
us_powerball,2026-01-31,33,2,8,14,40,63,23
us_powerball,2026-01-28,34,21,35,40,46,68,11
us_powerball,2026-01-26,35,21,31,51,60,63,18
us_powerball,2026-01-24,36,2,16,35,61,63,5
us_powerball,2026-01-21,37,11,26,27,53,55,12
us_powerball,2026-01-19,38,5,28,34,37,55,17
us_powerball,2026-01-17,39,5,8,27,49,57,14
