lottery_id,draw_date,draw_number,main_1,main_2,main_3,main_4,main_5,main_6,main_7,supp_1,supp_2
au_ozlotto,2026-04-14,1678,2,5,19,25,30,36,39,13,40
au_ozlotto,2026-04-07,1677,3,10,17,20,24,37,39,12,22
au_ozlotto,2026-03-31,1676,8,17,18,31,35,43,44,6,29
au_ozlotto,2026-03-24,1675,6,9,22,24,25,27,34,1,14
au_ozlotto,2026-03-17,1674,2,6,18,24,25,45,47,3,10
au_ozlotto,2026-03-10,1673,12,16,17,33,34,41,42,23,24
au_ozlotto,2026-03-03,1672,5,7,18,21,33,39,47,14,26
au_ozlotto,2026-02-24,1671,2,5,7,25,27,33,43,28,31
au_ozlotto,2026-02-17,1670,9,23,32,36,39,42,44,18,24
au_ozlotto,2026-02-10,1669,4,20,23,26,27,31,44,2,24
au_ozlotto,2026-02-03,1668,4,10,19,27,29,41,46,7,20
au_ozlotto,2026-01-27,1667,1,15,17,22,23,28,41,5,12
au_ozlotto,2026-01-20,1666,3,11,14,22,27,32,33,31,37
au_ozlotto,2026-01-13,1665,17,23,31,35,38,39,42,7,24
au_ozlotto,2026-01-06,1664,2,13,14,17,19,30,45,4,8
au_ozlotto,2025-12-30,1663,11,12,14,19,20,27,31,1,13
au_ozlotto,2025-12-23,1662,2,12,23,29,36,37,47,3,34
au_ozlotto,2025-12-16,1661,4,9,19,20,41,43,46,8,21
au_ozlotto,2025-12-09,1660,3,6,9,15,19,21,33,7,14
au_ozlotto,2025-12-02,1659,7,22,26,28,40,42,43,6,29
au_ozlotto,2025-11-25,1658,1,12,14,28,35,43,47,15,16
au_ozlotto,2025-11-18,1657,2,4,6,8,22,27,39,5,24
au_ozlotto,2025-11-11,1656,7,17,28,30,34,42,44,3,20
au_ozlotto,2025-11-04,1655,12,14,17,18,21,25,43,15,24
au_ozlotto,2025-10-28,1654,6,30,33,35,39,43,45,3,40
au_ozlotto,2025-10-21,1653,4,26,28,29,36,37,45,20,24
au_ozlotto,2025-10-14,1652,1,14,17,18,22,33,47,11,34
au_ozlotto,2025-10-07,1651,3,7,15,34,39,44,46,13,19
au_ozlotto,2025-09-30,1650,4,7,9,28,35,39,46,14,15
au_ozlotto,2025-09-23,1649,1,4,11,20,23,30,31,25,40
au_ozlotto,2025-09-16,1648,3,7,20,35,37,41,42,18,30
au_ozlotto,2025-09-09,1647,13,14,21,30,33,37,44,3,4
au_ozlotto,2025-09-02,1646,1,2,7,17,30,37,39,6,13
au_ozlotto,2025-08-26,1645,10,17,26,28,29,35,36,24,37
au_ozlotto,2025-08-19,1644,4,8,11,26,29,32,41,3,10
au_ozlotto,2025-08-12,1643,2,14,34,37,38,40,41,19,25
au_ozlotto,2025-08-05,1642,11,29,32,34,38,40,42,3,15
au_ozlotto,2025-07-29,1641,2,18,21,25,28,31,38,23,27
au_ozlotto,2025-07-22,1640,1,5,17,21,25,32,36,16,38
au_ozlotto,2025-07-15,1639,6,7,13,17,20,39,41,12,23
au_ozlotto,2025-07-08,1638,1,5,27,41,43,44,47,18,23
au_ozlotto,2025-07-01,1637,2,16,26,28,32,38,43,23,33
au_ozlotto,2025-06-24,1636,7,8,12,19,23,24,45,4,33
au_ozlotto,2025-06-17,1635,8,21,25,26,29,31,47,18,24
au_ozlotto,2025-06-10,1634,1,15,21,32,33,38,45,3,25
au_ozlotto,2025-06-03,1633,1,21,25,34,44,45,46,9,14
au_ozlotto,2025-05-27,1632,12,16,24,37,39,45,46,19,31
au_ozlotto,2025-05-20,1631,21,22,25,31,32,36,39,16,29
au_ozlotto,2025-05-13,1630,9,10,16,18,26,39,40,20,35
au_ozlotto,2025-05-06,1629,6,17,19,28,35,43,47,3,18
au_ozlotto,2025-04-29,1628,2,16,27,30,34,38,43,9,14
au_ozlotto,2025-04-22,1627,2,3,16,23,27,31,37,21,28
au_ozlotto,2025-04-15,1626,8,13,14,23,29,32,41,4,40
au_ozlotto,2025-04-08,1625,17,18,21,24,29,30,44,9,12
